tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""does not cause"", ""augments""]";"[""SemMedDB"", ""SemMedDB""]";apoptosis;987463;[];['Organism Attribute', 'Cell Function', 'Molecular Function'];Physiology;"[""affects"", ""affects""]";"[""SemMedDB"", ""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""inhibits""]";"[""SemMedDB""]";monocyte chemoattractant protein-1;968744;[];['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];Chemicals & Drugs;"[""is associated with""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""augments""]";"[""SemMedDB""]";cell proliferation;96478;[];['Cell Function'];Physiology;"[""affects""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""stimulates"", ""inhibits""]";"[""SemMedDB"", ""SemMedDB""]";nitric oxide;805254;[];['Chemical Viewed Structurally', 'Pharmacologic Substance', 'Biologically Active Substance', 'Inorganic Chemical'];Chemicals & Drugs;"[""is associated with"", ""produces""]";"[""SemMedDB"", ""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""treats""]";"[""SemMedDB""]";disease;658456;[];['Disease or Syndrome'];Disorders;"[""occurs in"", ""affects"", ""does not coexist with"", ""is a"", ""causes"", ""coexists with"", ""is location of"", ""coexists with"", ""augments"", ""predisposes"", ""is a"", ""causes""]";"[""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB"", ""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""inhibits""]";"[""SemMedDB""]";interleukin-8;649654;[];['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];Chemicals & Drugs;"[""treats""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""disrupts""]";"[""SemMedDB""]";cell secretion;642678;[];['Cell Function'];Physiology;"[""is manifestation of""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""inhibits""]";"[""SemMedDB""]";pro-epidermal growth factor (homo sapiens);630404;['homo sapiens'];['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hormone'];Chemicals & Drugs;"[""is associated with""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""is administered to""]";"[""SemMedDB""]";rattus norvegicus;593854;[];['Mammal', 'Species'];Living Beings;"[""is part of"", ""is process of""]";"[""SemMedDB"", ""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""affects"", ""disrupts"", ""is location of""]";"[""SemMedDB"", ""SemMedDB"", ""SemMedDB""]";cells;532989;[];['Cell', 'Cell Component'];Anatomy;"[""is location of""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""treats"", ""is administered to""]";"[""SemMedDB"", ""SemMedDB""]";mus;5029;[];['Mammal'];Living Beings;"[""is process of""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
tram 34;C0916207;556186;[];['Organic Chemical', 'Pharmacologic Substance'];Chemicals & Drugs;"[""prevents""]";"[""SemMedDB""]";infiltration;4651061;[];['Pathologic Function'];Disorders;"[""coexists with""]";"[""SemMedDB""]";polycystic kidney, autosomal dominant;C0085413;571823;[];['Congenital Abnormality', 'Disease or Syndrome'];Disorders;[];[];Prediction task
